EASY,MEDIUM,HARD,DEADLY,DAILY
25,50,75,100,300
50,100,150,200,600
75,150,225,400,1200
125,250,375,500,1700
250,500,750,1100,3500
300,600,900,1400,4000
350,750,1100,1700,5000
450,900,1400,2100,6000
550,1100,1600,2400,7500
600,1200,1900,2800,9000
800,1600,2400,3600,10500
1000,2000,3000,4500,11500
1100,2200,3400,5100,13500
1250,2500,3800,5700,15000
1400,2800,4300,6400,18000
1600,3200,4800,7200,20000
2000,3900,5900,8800,25000
2100,4200,6300,9500,27000
2400,4900,7300,10900,30000
2800,5700,8500,12700,40000
